endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,left,right,social_left,WTP_ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Resume_keys.keys,Resume_keys.rt
space,0.7229,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,space,0.1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,space,0.3948,space,0.3853,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Acc,Participant_Images/101/101_Images/101_Image_24.jpeg,did not like,3.613205605,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.4552,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Acc,Participant_Images/101/101_Images/101_Image_9.jpeg,did not like,4.988446431,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,5.455,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Acc,Participant_Images/101/101_Images/101_Image_4.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.7565,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Acc,Participant_Images/101/101_Images/101_Image_1.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,space,0.7887,space,0.6573,0.01,1,1.0185,0,0,0,0,1,one_1,one_1,0,4,0.01,0.01,green,0,1,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,1,0.6412,0,1,1,1,1,one_2,one_2,0,5,0.02,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,one_3,one_3,0,6,0.03,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,4.1105,0,3,3,3,1,one_4,one_4,0,1,0.04,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,0.6411,0,4,4,4,1,one_5,one_5,0,2,0.05,0.01,green,1,0,0,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,NAN,,NAN,0.12,5.88,,0,4,4,4,1,5,Alex,Acc,Participant_Images/101/101_Images/101_Image_3.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,34.6919,NAN,,NAN,0.12,5.88,,0,5,5,5,1,6,Alex,Acc,Participant_Images/101/101_Images/101_Image_13.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.9765,NAN,,NAN,0.12,5.88,,0,6,6,6,1,7,Alex,Acc,Participant_Images/101/101_Images/101_Image_2.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.7986,NAN,,NAN,0.12,5.88,,0,7,7,7,1,8,Alex,Acc,Participant_Images/101/101_Images/101_Image_25.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,space,0.9513,NAN,,NAN,0.12,5.88,,0,8,8,8,1,9,Alex,Acc,Participant_Images/101/101_Images/101_Image_8.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,space,0.9477,space,0.3859,0.01,1,0.9977,0,0,0,0,1,two_1,two_1,0,5,0.01,0.02,green,0,0,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,two_2,two_2,0,1,0.02,0.02,green,0,1,1,,
,,101,2024-04-14_23h59.55.791,WTP_SM_Choice,2022.2.1,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,two_3,two_3,0,2,0.03,0.02,green,1,0,0,,
