TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
68,Sam,Rej,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_19.jpeg,did not like,2.843822497
69,Sam,Rej,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_20.jpeg,did not like,3.546495948
70,Sam,Rej,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_11.jpeg,did not like,1.672012706
71,Sam,Rej,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_10.jpeg,liked,4.942172136
72,Sam,Rej,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_18.jpeg,did not like,2.50187214
73,Sam,Rej,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_22.jpeg,did not like,2.071164779
74,Sam,Rej,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_1.jpeg,did not like,5.336503566
75,Sam,Rej,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_15.jpeg,liked,2.642157193
76,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_11.jpeg,liked,4.456234322
77,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_4.jpeg,liked,4.438512181
78,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_20.jpeg,liked,2.682944783
79,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_13.jpeg,did not like,4.51984296
80,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_19.jpeg,liked,3.195382774
81,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_2.jpeg,liked,1.779333479
82,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_3.jpeg,did not like,4.312468682
83,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_18.jpeg,liked,4.940433059
84,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_5.jpeg,did not like,2.7105123
85,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_23.jpeg,liked,3.602308302
86,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_24.jpeg,liked,4.106391878
87,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_6.jpeg,liked,3.799433026
88,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_17.jpeg,liked,5.246980764
89,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_7.jpeg,liked,3.30081769
90,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_22.jpeg,did not like,1.661473164
91,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_14.jpeg,liked,3.613205605
92,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_1.jpeg,liked,4.988446431
93,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_8.jpeg,liked,3.470791822
94,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_9.jpeg,liked,3.820572462
95,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_12.jpeg,did not like,2.455989137
96,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_25.jpeg,did not like,3.79605092
97,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_16.jpeg,liked,3.562416326
98,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_15.jpeg,liked,2.843822497
99,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_10.jpeg,did not like,3.546495948
100,Charlie,Acc,Participant_Images/5e6027f12036113753519c82/5e6027f12036113753519c82_Images/5e6027f12036113753519c82_Image_21.jpeg,liked,1.672012706
